event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2006-open-west-linn-usa,1163624128,2006,Moonin' & Noonin' Beaver Open Post Turkey Day Blues Footbag Golf!,West Linn,Oregon,United States,West Linn,Oregon,United States,no,
2006-new-years-jam-chicago-usa,1157942368,2006,New Year's Jam 2006,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2006-rnh-contest-2006-paris-france,1134914723,2006,RNH Contest 2006,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2006-santa-cruz-invitational-santa-cruz-usa,1138601883,2006,Santa Cruz Invitational,Santa Cruz,California,United States,Santa Cruz,California,United States,no,
2006-championships-chattanooga-usa,1164034575,2006,Southeastern 4-Square Championship,Chattanooga,Tennessee,United States,Chattanooga,Tennessee,United States,no,
2006-open-stockholm-sweden,1139778550,2006,Swedish Open Footbag Net,Stockholm,Stockholm County,Sweden,Stockholm,Stockholm County,Sweden,no,
2006-open-winnipeg-canada,1156283186,2006,The Hackrifice Open 2006,Winnipeg,Manitoba,Canada,Winnipeg,Manitoba,Canada,no,
2006-open-portland-usa,1143155263,2006,U. S. Open Footbag Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2006-valentines-day-massacre-murfreesboro-usa,1133888413,2006,Valentines Day Massacre,Murfreesboro,Tennessee,United States,Murfreesboro,Tennessee,United States,no,
2006-zocha-jam-2006-wroc-aw-poland,1158263300,2006,Zocha Jam 2006,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2007-championships-memphis-usa,1167422711,2007,'07 Southeastern Net Championships,Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2007-1st-annual-nyfa-new-york-usa,1190256479,2007,1st Annual NYFA Freestyle Symposium,New York,,United States,New York,,United States,no,
2007-championships-medell-n-colombia,1183654670,2007,1st South American IFPA Footbag Championships,Medellín,Antioquia,Colombia,Medellín,Antioquia,Colombia,no,
2007-worlds-buena-vista-usa,1163784775,2007,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Buena Vista,Florida,United States,Buena Vista,Florida,United States,no,
2007-championships-montreal-canada,1179874637,2007,2007 Montreal Footbag Championships,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2007-us-open-portland-usa,1176318174,2007,2007 U.S. Open Footbag Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2007-open-vancouver-canada,1180496320,2007,20th Annual Vancouver Open Net Footbag Tournament,Vancouver,British Columbia,Canada,Vancouver,British Columbia,Canada,no,
2007-3rd-annual-shred-boise-usa,1189535136,2007,3rd Annual Shred Idaho Jam,Boise,Idaho,United States,Boise,Idaho,United States,no,
2007-3rd-new-jersey-budd-lake-usa,1176650845,2007,3rd New Jersey Spike and Shred,Budd Lake,New Jersey,United States,Budd Lake,New Jersey,United States,no,
2007-4th-annual-jfk-jyv-skyl-finland,1173606489,2007,4th Annual JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2007-4th-annual-montana-missoula-usa,1173467292,2007,4th annual Montana Freestyle Jam,Missoula,Montana,United States,Missoula,Montana,United States,no,
2007-open-warsaw-poland,1189345008,2007,5th Annual Wilanow Footbag Open 2007,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2007-nationals-aarau-switzerland,1186079315,2007,7th Swiss National Footbag Championship,Aarau,Aargau,Switzerland,Aarau,Aargau,Switzerland,no,
2007-open-turku-finland,1177615498,2007,8th Annual Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2007-open-paris-france,1183729267,2007,9e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2007-championships-vienna-austria,1154685554,2007,9th Annual IFPA European Footbag Championships,Vienna,,Austria,Vienna,,Austria,no,
2007-championships-linz-austria,1185556078,2007,Austrian Footbag Championships 2007,Linz,Upper Austria,Austria,Linz,Upper Austria,Austria,no,
2007-championnats-de-france-carnon-plage-france,1177512537,2007,Championnats de France de Footbag,Carnon-Plage,Occitanie,France,Carnon-Plage,Occitanie,France,no,
2007-cornell-jam-2-ithaca-usa,1191627566,2007,Cornell Footbag Jam 2,Ithaca,New York,United States,Ithaca,New York,United States,no,
2007-championships-jyv-skyl-finland,1180373807,2007,Finnish Footbag Championships 2007,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2007-championships-krak-w-poland,1185458086,2007,Footbagmania 3007 - Polish Footbag Championships,Kraków,Lesser Poland,Poland,Kraków,Lesser Poland,Poland,no,
