event_id,event_name,original_location,normalized_location,reason
1438626750,Swiss Footbag Open,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1466891959,Swiss Footbag Open 2016,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1488957997,Swiss Footbag Open 2017,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1533246739,Swiss Footbag Open,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1565425638,Swiss Footbag Open 2022,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1709070838,Swiss Footbag Open 2024,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1740419380,Swiss Footbag Open 2025,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1764237004,,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
996678489,Vienna Footbag Festival,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1154685554,9th Annual IFPA European Footbag Championships,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1284588517,Austrian Footbag Championships 2010,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1318673467,Austrian Footbag Championships 2011,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1382778441,Austrian Footbag Championships 2013,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1445178271,Austrian Footbag Championships 2015,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1473932659,Austrian Footbag Championships 2016,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1498568502,Austrian Footbag Championships 2017,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1536221908,Austrian Footbag Championships 2018,"Vienna, Austria","Vienna, Vienna, Austria",region_added
1556730450,I. Basque Tournament of Footbag (Doubles),"Vizcaya, Basque Country","Bilbao, Basque Country, Spain",region_added
1299244521,,"Warsaw, Poland","Warsaw, Masovian, Poland",region_added
