chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1460640850_31,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,butterfly,3.0,direct
1460640850_32,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,legover,2.0,direct
1460640850_32,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,clipper,2.0,direct
1467142686_23,1467142686,2016,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,context_window,0,blurry whirl,5.0,direct
1467142686_23,1467142686,2016,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,context_window,1,spinning,,unscored
1485863923_56,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,spinning,,unscored
1485863923_56,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,dimwalk,4.0,direct
1485863923_58,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,blurry whirl,5.0,direct
1485863923_58,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,spinning,,unscored
1485863923_59,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,torque,4.0,direct
1485863923_59,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,whirl,3.0,direct
1485863923_61,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,blurry whirl,5.0,direct
1485863923_61,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,spinning clipper,3.0,direct
1485863923_61,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,2,blender,4.0,direct
1485863923_62,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,ripwalk,4.0,direct
1485863923_62,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,clipper,2.0,direct
1485863923_62,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,2,clipper,2.0,direct
1485863923_62,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,3,ripwalk,4.0,direct
1485863923_62,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,4,osis,3.0,direct
1485863923_63,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,0,blurry whirl,5.0,direct
1485863923_63,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,1,ripwalk,4.0,direct
1485863923_63,1485863923,2017,7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,context_window,2,whirl,3.0,direct
1518200935_26,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,0,eggbeater,3.0,direct
1518200935_26,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,1,torque,4.0,direct
1518200935_28,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,0,atomic,,unscored
1518200935_28,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,1,whirl,3.0,direct
1518200935_29,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,0,ducking,,unscored
1518200935_29,1518200935,2018,9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,context_window,1,whirl,3.0,direct
1519215398_131,1519215398,2018,82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,context_window,0,pixie,2.0,direct
1519215398_131,1519215398,2018,82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,context_window,1,torque,4.0,direct
1519215398_133,1519215398,2018,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,context_window,0,atomic,,unscored
1519215398_133,1519215398,2018,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,context_window,1,ducking butterfly,4.0,direct
1519215398_135,1519215398,2018,835fd269-0b77-57fe-9efc-cbdf4b567a8b,Andrey Dyakonov,context_window,0,blurriest,5.0,direct
1519215398_135,1519215398,2018,835fd269-0b77-57fe-9efc-cbdf4b567a8b,Andrey Dyakonov,context_window,1,ducking,,unscored
1519215398_137,1519215398,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,context_window,0,ducking,,unscored
