person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,gyro,style_term,1,2010,2010,1,,2.Damian Gielnicki (gyro ilussion>toe ss rev. swirl>ss reaper)
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,pixie,style_term,1,2022,2022,1,,2. Damian Gielnicki (Poland) - Phoenix spinning dlo pixie torque
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,blurry whirl,full_trick,1,2003,2003,1,,2. Dan Ednie - ripwalk>blurry whirl>PS whirl
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,paradox mirage,full_trick,1,2001,2001,1,,3rd - Dan Ednie (pixie butterfly>paradox mirage>pixie butterfly)
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,ripwalk,full_trick,1,2003,2003,1,,2. Dan Ednie - ripwalk>blurry whirl>PS whirl
4e7dc073-b469-5740-821c-76e0ee26a3d1,Dan Greer,butterfly,full_trick,1,2003,2003,1,,2nd: Danny Greer (Smear>Double Around the World>Butterfly)
4e7dc073-b469-5740-821c-76e0ee26a3d1,Dan Greer,double around the world,full_trick,1,2003,2003,1,,2nd: Danny Greer (Smear>Double Around the World>Butterfly)
4e7dc073-b469-5740-821c-76e0ee26a3d1,Dan Greer,smear,full_trick,1,2003,2003,1,,2nd: Danny Greer (Smear>Double Around the World>Butterfly)
c4f8c15d-687e-505e-b60a-84e25fd2a045,Dan Reed,butterfly,full_trick,1,2004,2004,1,,4. Dan Reed: Fairy butterfly
c4f8c15d-687e-505e-b60a-84e25fd2a045,Dan Reed,whirl,full_trick,1,2004,2004,1,,4. Dan Reed: paradon>pdx. Mirage>toe whirl
eb6c8019-8a66-5c39-942f-47e75377cc38,Danny Iachini,atomic,style_term,1,2003,2003,1,,1st: Danny Iachini (Quantum Legover>Atomic Legover>Legbeater)
bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,butterfly,full_trick,1,2006,2006,1,,1) Danny Petrick - pixie legover>butterfly>reverse whirl
