chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1163784775_309,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,3,3,0,0,1,2,4.0,1.333,4.0,spinning>barfly>spinning
1163784775_320,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,2,2,0,0,2,0,6.0,3.0,3.0,spinning clipper>swirl
1172931308_24,1172931308,2007,16aae952-d265-5e4d-81b8-5474f6c43802,Jorden Moir,,context_window,2,2,0,0,2,0,7.0,3.5,4.0,atomic butterfly>swirl
1173467292_26,1173467292,2007,4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,,direct,2,2,0,0,2,0,6.0,3.0,3.0,eggbeater>eggbeater
1173467292_27,1173467292,2007,67f14498-b4d7-54f4-ad8a-3a4d95ccbd24,Jake Wren,,direct,3,3,0,0,3,0,15.0,5.0,5.0,blurriest>spinning whirl>blurry whirl
1173467292_29,1173467292,2007,348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,,direct,3,3,0,0,2,1,8.0,2.667,5.0,spinning>blurry whirl>osis
1173467292_32,1173467292,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,direct,3,3,0,0,2,1,9.0,3.0,5.0,paradox whirl>paradox blender>gyro
1173467292_37,1173467292,2007,6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,,direct,2,2,0,0,1,1,3.0,1.5,3.0,eggbeater>symposium
1173467292_42,1173467292,2007,9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,,direct,4,4,0,0,4,0,16.0,4.0,5.0,ripwalk>blurry whirl>smear>dimwalk
1173467292_43,1173467292,2007,4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,,direct,3,3,0,0,3,0,11.0,3.667,4.0,ripwalk>eggbeater>blur
1173467292_44,1173467292,2007,1bfb569c-6400-5fbb-aca1-66b0cfb3abc3,Jacob Wren,,direct,3,3,0,0,2,1,7.0,2.333,4.0,ripwalk>whirl>spinning
1173467292_45,1173467292,2007,8fc44a4b-aa33-5106-8cc6-8f2303bf1b0e,Zac Jackson,,direct,4,4,0,0,4,0,12.0,3.0,4.0,ripwalk>mirage>ripwalk>mirage
1173467292_46,1173467292,2007,348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,,direct,3,3,0,0,3,0,10.0,3.333,4.0,smear>dimwalk>whirl
1173467292_47,1173467292,2007,7afe03a1-08a3-5ea2-a884-f56589aeea38,Benjamin Benulis,,direct,2,2,0,0,2,0,4.0,2.0,2.0,mirage>mirage
1173467292_49,1173467292,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,direct,2,2,0,0,0,2,,,,spinning>spinning
1173467292_50,1173467292,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,3,3,0,0,3,0,13.0,4.333,6.0,blender>food processor>whirl
1173467292_51,1173467292,2007,48268322-19d9-5180-aac2-241293167d21,Nick Landes,,direct,2,1,1,1,1,0,4.0,4.0,4.0,gyro whirl
1173467292_52,1173467292,2007,bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,,direct,3,3,0,0,3,0,11.0,3.667,5.0,blurry whirl>torque>mirage
1173467292_53,1173467292,2007,6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,,direct,2,2,0,0,2,0,6.0,3.0,4.0,mirage>dimwalk
1173467292_54,1173467292,2007,e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,,direct,2,2,0,0,1,1,2.0,1.0,2.0,stepping>pixie
1173467292_55,1173467292,2007,23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,,direct,3,3,0,0,0,3,,,,ducking>gyro>spinning
1176650845_10,1176650845,2007,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,direct,3,3,0,0,3,0,9.0,3.0,4.0,ducking clipper>mirage>dimwalk
1176650845_11,1176650845,2007,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,context_window,2,2,0,0,2,0,6.0,3.0,3.0,double around the world>butterfly
