event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1361207019,34th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2013,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open 2-Square"", ""Open Circle Contest"",",199,16,1,0,16,1,7305
1366375326,WSF Stare Babice Footbag Jam 2013,2013,MERGED_DIVISION_RESULTS,minor,"division results merged (""Request Contest"", 5 dup pairs)",36,4,1,0,5,1,1065
1371821574,Swiss Jam Zürich,2013,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Freestyle ",37,4,1,0,4,1,1249
1374570632,17th Annual Finnish Footbag Open,2013,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle"", ""Routines"", 3 dup pairs)",63,7,1,0,7,1,1903
1376036018,13th Annual Polish Footbag Championships 2013,2013,POOL_FINALS_MERGED,severe,"pool+finals results merged (5 divisions, 16 dup pairs, 84 affected rows)",117,13,1,0,16,1,2797
1389338303,16th Annual IFPA European Footbag Championships,2014,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ro",88,6,1,0,6,1,3072
1389730147,Todexon 15,2014,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ro",33,5,1,0,6,1,1657
1391189882,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2014,POOL_FINALS_MERGED,severe,"pool+finals results merged (8 divisions, 15 dup pairs, 88 affected rows)",246,18,1,0,18,1,9632
1406219099,14th Annual Polish Footbag Championships 2014,2014,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Shred 30"", ""Sick 3"", 7 dup pairs)",93,20,1,0,22,1,2633
1415986036,Todexon 16,2015,MERGED_DIVISION_RESULTS,minor,"division results merged (""Request"", ""Sick 3"", 5 dup pairs)",22,4,1,0,6,1,437
1417735560,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2015,POOL_FINALS_MERGED,severe,"pool+finals results merged (5 divisions, 14 dup pairs, 121 affected rows)",273,21,1,0,21,1,10754
